"SALES_ID";"SALES_DATE";"SALES_TIME";"CUSTOMER_ID";"PRODUCT_ID";"QUANTITY";"DISCOUNT_PERCENTAGE";"DISCOUNT_AMOUNT";"PRICE"
S_975476444;"2018-10-23";"17:42:03";C_000000503;P_0151;"1";"0.00";"0.00";"999.00"
S_335261340;"2018-03-27";"11:01:51";C_000023400;P_0151;"1";"0.00";"0.00";"999.00"
S_526451726;"2019-05-20";"13:44:51";C_000044480;P_0151;"1";"0.00";"0.00";"999.00"
S_581715712;"2023-01-01";"09:51:13";C_000037880;P_0151;"1";"0.00";"0.00";"999.00"
S_902978954;"2022-02-04";"22:04:46";C_000001194;P_0151;"1";"0.00";"0.00";"999.00"
S_488211330;"2021-05-08";"12:22:41";C_000000640;P_0151;"1";"0.00";"0.00";"999.00"
S_969822633;"2020-12-04";"22:48:19";C_000008237;P_0151;"1";"0.00";"0.00";"999.00"
S_491704872;"2020-04-05";"11:59:38";C_000005358;P_0151;"1";"0.00";"0.00";"999.00"
S_716107730;"2020-09-16";"17:45:09";C_000001229;P_0151;"1";"0.00";"0.00";"999.00"
S_380037032;"2022-04-22";"00:32:21";C_000009063;P_0151;"1";"0.00";"0.00";"999.00"
S_423267393;"2021-08-16";"07:22:14";C_000008237;P_0151;"1";"0.00";"0.00";"999.00"
S_635049927;"2021-06-27";"03:03:17";C_000001083;P_0151;"1";"0.00";"0.00";"999.00"
S_273804292;"2022-06-04";"02:16:17";C_000021383;P_0151;"1";"0.00";"0.00";"999.00"
S_673073373;"2022-10-11";"17:14:21";C_000000201;P_0151;"1";"0.00";"0.00";"999.00"
S_213101394;"2021-11-08";"06:34:01";C_000017679;P_0151;"1";"0.00";"0.00";"999.00"
S_945342852;"2021-12-08";"03:15:55";C_000000332;P_0151;"1";"0.00";"0.00";"999.00"
S_394485122;"2020-07-29";"23:14:16";C_000000278;P_0151;"1";"0.00";"0.00";"999.00"
S_531989137;"2021-12-11";"18:05:18";C_000001237;P_0151;"1";"0.00";"0.00";"999.00"
S_226418192;"2021-04-20";"15:59:38";C_000000278;P_0151;"1";"0.00";"0.00";"999.00"
S_553492635;"2021-12-06";"03:19:32";C_000000437;P_0151;"1";"0.00";"0.00";"999.00"
S_925912231;"2022-02-17";"03:32:29";C_000001423;P_0151;"1";"0.00";"0.00";"999.00"
S_927725410;"2020-09-13";"04:51:06";C_000001658;P_0151;"1";"0.00";"0.00";"999.00"
S_239197649;"2020-12-06";"11:31:23";C_000000350;P_0151;"1";"0.00";"0.00";"999.00"
S_603146011;"2021-05-21";"04:54:41";C_000017679;P_0151;"1";"0.00";"0.00";"999.00"
S_441544166;"2022-05-04";"22:34:49";C_000000186;P_0151;"1";"0.00";"0.00";"999.00"
S_003302463;"2021-03-29";"20:29:32";C_000001380;P_0151;"1";"0.00";"0.00";"999.00"
S_654243365;"2022-12-12";"04:16:14";C_000001429;P_0151;"1";"0.00";"0.00";"999.00"
S_162133384;"2021-01-09";"04:02:38";C_000006793;P_0151;"1";"0.00";"0.00";"999.00"
S_608519223;"2022-07-01";"22:35:55";C_000004239;P_0151;"1";"0.00";"0.00";"999.00"
S_864722909;"2020-02-14";"12:51:14";C_000003801;P_0151;"1";"0.00";"0.00";"999.00"
S_586350997;"2022-04-01";"07:56:21";C_000000526;P_0151;"1";"0.00";"0.00";"999.00"
S_410464827;"2021-08-24";"14:06:47";C_000000526;P_0151;"1";"0.00";"0.00";"999.00"
S_079083486;"2021-04-27";"16:10:34";C_000008172;P_0151;"1";"0.00";"0.00";"999.00"
S_854616727;"2020-08-12";"00:37:52";C_000031936;P_0151;"1";"0.00";"0.00";"999.00"
S_217963607;"2020-12-19";"11:05:22";C_000006096;P_0151;"1";"0.00";"0.00";"999.00"
S_008821803;"2022-07-07";"06:48:19";C_000011142;P_0151;"1";"0.00";"0.00";"999.00"
S_043372780;"2021-12-11";"20:44:10";C_000000186;P_0151;"1";"0.00";"0.00";"999.00"
S_283978005;"2022-09-16";"00:13:58";C_000044888;P_0151;"1";"0.00";"0.00";"999.00"
S_892927919;"2021-07-28";"17:14:48";C_000004329;P_0151;"1";"0.00";"0.00";"999.00"
S_884743650;"2021-05-20";"16:20:32";C_000012562;P_0151;"1";"0.00";"0.00";"999.00"
S_649964288;"2021-04-13";"19:54:44";C_000001040;P_0151;"1";"0.00";"0.00";"999.00"
S_748762938;"2021-08-11";"21:50:55";C_000023819;P_0151;"1";"0.00";"0.00";"999.00"
S_003234054;"2020-05-02";"21:45:48";C_000000503;P_0151;"1";"0.00";"0.00";"999.00"
S_562827087;"2020-09-06";"03:44:01";C_000004657;P_0151;"1";"0.00";"0.00";"999.00"
S_948315995;"2020-06-26";"08:40:42";C_000000160;P_0151;"1";"0.00";"0.00";"999.00"
S_318823122;"2022-09-26";"06:31:41";C_000004213;P_0151;"1";"0.00";"0.00";"999.00"
S_621225797;"2020-07-28";"23:40:40";C_000004916;P_0151;"1";"0.00";"0.00";"999.00"
S_465956173;"2020-07-06";"23:05:43";C_000004298;P_0151;"1";"0.00";"0.00";"999.00"
S_862966166;"2020-09-20";"23:43:40";C_000003149;P_0151;"1";"0.00";"0.00";"999.00"
S_769808116;"2021-03-23";"05:06:08";C_000037880;P_0151;"1";"0.00";"0.00";"999.00"
S_296940814;"2021-11-22";"02:17:02";C_000001229;P_0151;"1";"0.00";"0.00";"999.00"
S_223328348;"2020-11-06";"04:53:18";C_000007612;P_0151;"1";"0.00";"0.00";"999.00"
S_855271690;"2022-06-18";"00:52:53";C_000001083;P_0151;"1";"0.00";"0.00";"999.00"
S_069165057;"2022-01-01";"01:52:33";C_000011072;P_0151;"1";"0.00";"0.00";"999.00"
S_199748745;"2020-03-20";"03:32:27";C_000021064;P_0151;"1";"0.00";"0.00";"999.00"
S_012574675;"2022-12-24";"08:22:04";C_000001087;P_0151;"1";"0.00";"0.00";"999.00"
S_638161799;"2022-02-16";"01:12:01";C_000006869;P_0151;"1";"0.00";"0.00";"999.00"
S_406451597;"2022-06-24";"12:28:56";C_000000926;P_0151;"1";"0.00";"0.00";"999.00"
S_800442510;"2020-06-25";"02:59:50";C_000023400;P_0151;"1";"0.00";"0.00";"999.00"
S_419483829;"2022-09-18";"13:59:50";C_000011525;P_0151;"1";"0.00";"0.00";"999.00"
S_129357483;"2020-08-24";"20:41:59";C_000006456;P_0151;"1";"0.00";"0.00";"999.00"
S_996356911;"2020-06-08";"20:16:46";C_000004720;P_0151;"1";"0.00";"0.00";"999.00"
S_220710196;"2022-09-16";"12:43:45";C_000004329;P_0151;"1";"0.00";"0.00";"999.00"
S_937176751;"2021-05-19";"17:23:09";C_000000807;P_0151;"1";"0.00";"0.00";"999.00"
S_417021835;"2020-03-08";"04:50:19";C_000017679;P_0151;"1";"0.00";"0.00";"999.00"
S_266906735;"2022-07-27";"05:02:45";C_000000176;P_0151;"1";"0.00";"0.00";"999.00"
S_461802594;"2022-01-08";"08:51:46";C_000006869;P_0151;"1";"0.00";"0.00";"999.00"
S_605178571;"2021-09-22";"09:45:26";C_000000926;P_0151;"1";"0.00";"0.00";"999.00"
S_882566488;"2021-02-07";"10:30:10";C_000005699;P_0151;"1";"0.00";"0.00";"999.00"
S_827416493;"2020-08-31";"16:12:04";C_000021064;P_0151;"1";"0.00";"0.00";"999.00"
S_906860852;"2020-03-29";"22:42:28";C_000000568;P_0151;"1";"0.00";"0.00";"999.00"
